,Crude_birth_rate,Crude_death_rate,Fertility_rate,DPT_immu,HepB3_immu,Measles_immu,HIV_incidence,TB_incidence,Homicides_per100000,Life_expectancy,Physicians_per1000_people,Population_density,Overweight_prevalence
13,12.6,6.3,1.74,95.0,95.0,95.0,0.04,6.6,0.89163240342,82.7487804878049,1.933047540983607,3.247870910372048,5.0777777777777775
14,9.7,9.5,1.47,85.0,85.0,94.0,0.6182203389830511,7.1,0.96722860774,81.69268292682928,1.933047540983607,107.12796686056384,5.0777777777777775
15,14.0,5.8,1.73,95.0,95.0,96.0,0.06,63.0,2.2011074485,72.864,1.933047540983607,120.23431716463045,5.0777777777777775
16,13.968,6.771,1.752,90.0,90.0,89.0,0.6182203389830511,14.0,6.405792268262776,73.752,1.933047540983607,38.52547452547453,5.0777777777777775
17,13.99,2.385,1.987,99.0,99.0,99.0,0.6182203389830511,11.0,6.405792268262776,77.163,1.933047540983607,2017.2736997913785,5.0777777777777775
18,18.184,5.529,2.036,98.0,98.0,97.0,0.6182203389830511,221.0,2.3733287962,72.32,0.5809,1239.5793116693555,2.2
19,10.648,9.004,1.619,95.0,95.0,85.0,0.19,0.4,9.7683505442,79.081,1.933047540983607,666.606976744186,5.0777777777777775
20,9.9,12.7,1.448,97.0,98.0,98.0,0.21,31.0,2.3908727902,74.17560975609757,1.933047540983607,46.71950378842038,5.0777777777777775
21,10.3,10.7,1.62,98.0,97.0,96.0,0.6182203389830511,9.0,6.405792268262776,81.59512195121953,1.933047540983607,377.37959048877144,5.0777777777777775
22,20.786,4.716,2.307,96.0,96.0,97.0,0.6182203389830511,30.0,6.405792268262776,74.496,1.933047540983607,16.79399386234108,5.0777777777777775
23,36.221,8.871,4.836,76.0,76.0,71.0,0.33,56.0,6.405792268262776,61.47,0.0791,101.85391982972685,1.9
24,8.2,7.5,1.6,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,3.7,6.405792268262776,81.65170731707317,1.933047540983607,1183.703682798745,5.0777777777777775
25,17.259,6.245,1.975,97.0,97.0,97.0,0.6182203389830511,149.0,1.193007386,71.46,0.4242,19.77752777144484,5.0777777777777775
26,21.75,6.772,2.73,83.0,83.0,89.0,0.09,108.0,6.405792268262776,71.239,1.933047540983607,10.480145850641557,5.0777777777777775
27,8.111,10.712,1.265,73.0,80.0,68.0,0.6182203389830511,25.0,1.1733102602,77.262,1.933047540983607,64.92048828125,5.0777777777777775
28,24.821,5.742,2.874,95.0,95.0,97.0,5.08,275.0,6.405792268262776,69.275,1.933047540983607,3.9774248760432656,5.0777777777777775
